height,weight,chest_circ,tshirt_size,color
1604,595,77.3,2X-Small,pink
1748,863,99.6,Medium,blue
1650,686,93.5,Small,red
1679,763,96.5,Medium,blue
1635,725,99.5,Medium,blue
1673,639,86.2,Extra Small,yellow
1643,559,85.6,Extra Small,yellow
1691,764,96.4,Medium,blue
1672,699,96.9,Medium,blue
1638,630,83.9,2X-Small,pink
1676,606,80.3,2X-Small,pink
1655,680,91.8,Small,red
1675,654,91.4,Small,red
1508,538,82.0,2X-Small,pink
1679,731,100.6,Medium,blue
1692,766,97.0,Medium,blue
1631,577,88.2,Extra Small,yellow
1533,598,90.9,Small,red
1563,686,99.6,Medium,blue
1655,708,90.8,Small,red
1496,488,78.6,2X-Small,pink
1777,766,93.5,Small,red
1546,583,89.7,Extra Small,yellow
1685,685,90.6,Small,red
1608,585,85.0,Extra Small,yellow
1632,719,92.9,Small,red
1690,649,89.2,Extra Small,yellow
1655,583,79.8,2X-Small,pink
1574,648,93.3,Small,red
1659,564,84.1,Extra Small,yellow
1541,478,81.2,2X-Small,pink
1675,591,84.3,Extra Small,yellow
1652,665,93.6,Small,red
1593,649,94.5,Small,red
1565,512,78.4,2X-Small,pink
1530,496,80.4,2X-Small,pink
1600,744,93.2,Small,red
1615,680,92.7,Small,red
1557,506,78.3,2X-Small,pink
1679,591,84.6,Extra Small,yellow
1662,712,90.9,Small,red
1696,844,112.1,X-Large,green
1657,547,89.2,Extra Small,yellow
1495,487,81.4,2X-Small,pink
1644,612,93.9,Small,red
1652,722,93.3,Small,red
1566,567,89.4,Extra Small,yellow
1653,688,95.7,Medium,blue
1604,542,78.7,2X-Small,pink
1594,611,85.3,Extra Small,yellow
1627,672,98.9,Medium,blue
1729,749,92.7,Small,red
1602,585,88.3,Extra Small,yellow
1615,605,93.0,Small,red
1645,601,86.2,Extra Small,yellow
1623,621,87.7,Extra Small,yellow
1595,609,83.0,2X-Small,pink
1480,470,79.8,2X-Small,pink
1696,786,95.5,Medium,blue
1680,725,95.8,Medium,blue
1590,516,78.7,2X-Small,pink
1529,501,80.2,2X-Small,pink
1551,626,91.7,Small,red
1709,787,94.2,Small,red
1589,572,94.7,Small,red
1616,670,90.2,Small,red
1643,535,82.5,2X-Small,pink
1587,638,84.4,Extra Small,yellow
1691,752,88.8,Extra Small,yellow
1558,519,82.4,2X-Small,pink
1611,602,84.3,Extra Small,yellow
1724,701,91.5,Small,red
1623,782,95.8,Medium,blue
1686,611,88.0,Extra Small,yellow
1587,631,101.1,Medium,blue
1546,540,80.3,2X-Small,pink
1682,619,91.4,Small,red
1519,577,84.8,Extra Small,yellow
1631,673,86.7,Extra Small,yellow
1525,608,90.9,Small,red
1657,905,111.0,Large,lawngreen
1653,682,97.5,Medium,blue
1447,683,101.8,Medium,blue
1615,778,106.8,Large,lawngreen
1732,648,95.8,Medium,blue
1733,1082,121.2,X-Large,green
1760,875,100.4,Medium,blue
1669,788,105.2,Large,lawngreen
1602,844,107.3,Large,lawngreen
1611,667,91.0,Small,red
1607,749,105.7,Large,lawngreen
1582,827,104.3,Large,lawngreen
1636,695,90.2,Small,red
1702,697,90.9,Small,red
1591,528,78.3,2X-Small,pink
1724,785,103.6,Large,lawngreen
1657,669,96.5,Medium,blue
1591,556,83.0,2X-Small,pink
1630,840,107.7,Large,lawngreen
1730,831,94.5,Small,red
1695,735,94.3,Small,red
1598,763,94.8,Small,red
1606,637,95.3,Medium,blue
1644,700,97.5,Medium,blue
1575,626,92.3,Small,red
1642,607,88.1,Extra Small,yellow
1615,705,98.6,Medium,blue
1570,689,98.8,Medium,blue
1607,633,89.6,Extra Small,yellow
1626,564,82.3,2X-Small,pink
